name,activation,target,area,duration,range,savetype,onsave,school,description,level,icon
SHADOW RAPTOR SWARM,standard,,,Instant,30-ft cone,Reflex,half,"Black Seraph (Strike) [Evil, Mind-Affecting]","Saving Throw: Reflex half
The power of a Black Seraph disciples hatred is
made manifest by summoning a swarming mass
of beating wings with razor tipped wings made of
shadow that he directs at his foes in a cone of terror
and rage. The initiator extends his hand or weapon
and from this point a 30-ft cone of shadowy birds rip
and rend at the disciples foes and inflict 12d6 points
of profane damage; a successful Reflex save (DC 16
+ initiation modifier) halves this damage. All targets
within this maneuvers effects are shaken for the
disciples initiation modifier in rounds.",6,icons/svg/angel.svg
ARMAGEDDON LANCE,standard,One creature,,Instant,Close (25-ft + 5-ft/initiator level),,,"Black Seraph (Strike) [Evil, MindAffecting]","One the supreme arts of the Black Seraph discipline
allows the disciple to call upon the fell and eternal
wrath of his dark agreement with the lower planes
and use it as a devastating lance of destructive
unholy terror. This is a ranged touch attack which
deals 14d6 points of profane damage, but the cost of
creating this powerful attack requires sacrifice by the
host, resulting in the initiator suffering 2d6 points
of damage. Foes struck by this potent attack must
make a Will save (DC 17 + initiation modifier) or be
panicked for one round.",7,icons/svg/angel.svg
CHARGE OF THE RAVAGER,full,One creature and all adjacent targets along,,Instant,Up to twice base movement,,,Black Seraph (Strike),"The path to victory is not a curved line, it is a straight,
bloody line. The Black Seraph teaches its disciples
this and urges them to greater glory and carnage on
the field of battle. The disciple makes a charge attack
against an opponent to start this maneuver and he
may make a full attack upon the target of this charge.
This charge does not provoke attacks of opportunity.
The disciple may also make one attack at his highest
attack bonus against any opponent along his charge
path, and all successful attacks inflict an additional
2d6 points of damage. He may only make one attack
per target when he initiates this maneuver.",7,icons/svg/angel.svg
CONSUMPTION STRIKE,standard,One creature,,Instant,Melee attack,,,Black Seraph (Strike) [Evil],"By channeling dark energies from the lower
planes, the disciple of the Black Seraph may utilize
this vampiric power through his attack, restoring
health and strength to him at the cost of his foes
vitality. This strike deals an additional 10d6 points
of profane damage, and the disciple gains a number
of temporary hit points equal to the damage dealt
by this strike. These hit points persist for up to one
minute or until they are lost.",7,icons/svg/angel.svg
DEVASTATING RIPOSTE,immediate,One creature,,Instant,Personal,,,Black Seraph (Counter),"The battle-hardened nature of the disciple of the
Black Seraph can be shown in their ability to take
a hit and give it back to their attacker three-fold.
The disciple makes an Intimidate check against the
attackers attack roll, if successful then the disciple
may make an attack at his full base attack bonus
against the attacker that inflicts an additional 8d6
points of damage.",7,icons/svg/angel.svg
APOCALYPTIC STRIKE,standard,,40-ft-radius burst centered on you,Instant,40-ft,Reflex,half,Black Seraph (Strike) [Evil],"Saving Throw: Reflex half
This master level technique of the Black Seraph
discipline allows its disciples to bring forth the true
power of destruction from the darkness within. By
letting out a cry of rage and driving his weapon
into the ground at his feet, he lets forth a burst of
destructive energy to all surrounding him, friend
or foe. This destructive wrath inflicts 16d6 points of
profane damage to all targets within a 40-ft radius
burst, centered on the initiator. The power of this
blast is such that it may daze all affected creatures
for one round with unholy agony that were not quick
enough to avoid the worst of the assault. Those caught
within the blast of dark energy may attempt a Reflex
save (DC 18 + initiation modifier) for half damage and
to negate the dazed condition.",8,icons/svg/angel.svg
SOUL CRUSHER,standard,One creature,,Instant,Melee,,,Black Seraph (Strike) [Evil],"With a mighty swing or the barest tap, the rage and
hatred within the Black Seraph infects his foe and
destroys his resolve and very will to live. The initiator
makes a melee attack against a target creature, and if
successful the attack inflicts an additional 3d4 points
of Charisma damage as the essence of the targets self
is devoured by the disciples hatred for his existence.",8,icons/svg/angel.svg
VOID SERAPH STRIKE,standard,One creature,,1d4 rounds,30-ft,,,Black Seraph (Strike) [Evil],"The Black Seraph disciples power and mastery is
nearly complete, and with this maneuver he may
dismiss his hatred and set it upon a foe to devour
the fool who would stand before him. The initiator
must make a ranged touch attack against a target
creature, and if successful the target is ripped and
slashed by the claws and wings of shadowy birds of
venomous hate, taking 6d6 points of profane damage
per round for 1d4 rounds. While being devoured by
these shadowy birds, the target suffers a 50% miss
chance on any attacks he makes due to his senses
being obscured by the flapping wings and horrible
pain he is enduring.",8,icons/svg/angel.svg
BLACK SERAPH ONSLAUGHT,full,One creature,,Instant,Melee attack,,,Black Seraph (Strike),"A true master of the Black Seraph fears no foe, and
suffers none to stand before him. Heedless of personal
danger to himself, the disciple brings his enemies to
their knees with a relentless flurry of strikes. As part
of this maneuver, the initiator takes a full attack action
and may make an additional attack as part of this action
at his highest attack bonus. The initiator suffers a -2
penalty to AC due to his focus on offense while using
this maneuver. This focus on offense adds an extra 4d6
points of profane damage per successful attack. The
sheer force of these blows nauseates his target with
pain as well, for one round per successful attack. Foes
killed by use of this maneuver are mutilated so badly
that attempts to use a raise dead spell to restore their
lives fail automatically; a more powerful restorative
magic (such as true resurrection) is required.",9,icons/svg/angel.svg
BRAWLERS ATTITUDE,swift,You,,Instant,Personal,,,Broken Blade (Boost),"By using the skill of the empty-handed warriors
that came before him, the disciple focuses his will to
using his body in less conventional ways in combat.
When initiating this boost, the initiator gains a +4
competence bonus to his next CMB check when using
his unarmed strike or discipline weapon to perform
the following combat maneuvers: dirty trick, disarm,
grapple, or trip.",1,icons/svg/sword.svg
FLURRY STRIKE,standard,One creature,,Instant,Melee attack,,,Broken Blade (Strike),"The disciple of the Broken Blade learns to
maximize openings in his opponents defenses and
makes lightning fast attacks whenever possible. As a
standard action, the initiator may make two attacks
at his full base attack bonus.",1,icons/svg/sword.svg
POMMEL BASH,standard,One creature,,Instant,Melee attack,,,Broken Blade (Strike),"When watching a Broken Blade fighter work his art,
most watch for the fists and feet. The disciple knows
this, and surprises his foe, catching him unaware. The
disciple makes a surprise elbow strike to the foe that
leaves them reeling. The initiator makes an unarmed
attack against the targets flat-footed armor class, and
the blow inflicts 1d6 points of additional damage.
Creatures immune to sneak attacks and critical hits
are unaffected by this extra damage.",1,icons/svg/sword.svg
SHARDS OF IRON STRIKE,standard,One creature,,Instant,Melee attack,,,Broken Blade (Strike),"By mimicking the speed and piercing power of
the legendary shattered blade of the founder of this
discipline, the disciple makes a hard jabbing strike at
his opponents vulnerable spots for maximum pain.
The initiator makes an attack against his target foe
and if successful, the target is staggered for one round
in addition to normal damage.",1,icons/svg/sword.svg
BRONZE KNUCKLE,swift,You,,One turn,Personal,,,Broken Blade (Boost),"With a spectacular crack of his knuckles, the disciple
delivers an extra-potent blow to his foe in the form of
a bone-crushing strike. As part of a unarmed attack
or a strike from this discipline, the initiators attacks
for the duration of his turn inflict an additional 2d6
points of damage and these attacks ignore a targets
damage reduction.",2,icons/svg/sword.svg
CARTWHEEL AXE KICK,standard,One creature,,Instant,Melee attack,,,Broken Blade (Strike),"With a quick handspring into a cartwheel or flip,
the disciple of the Broken Blade levels a powerful axe
kick at his foe. The initiator must make an Acrobatics
check with a DC of 15; if successful the initiator may
either move 10-ft. towards or away from a target
creature without provoking attacks of opportunity.
The initiator makes his unarmed attack roll (before
he moves if hes moving away, or after he moves if
hes approaching a target) and if successful, this kick
inflicts an additional 2d6 points of damage.",2,icons/svg/sword.svg
COUNTER STEP,immediate,You,,Instant,Personal,,,Broken Blade (Counter),"With a twist of his body or a nimble hop, the disciple
of the Broken Blade avoids a blow with a practiced
step. The initiator makes an opposed Acrobatics check
against an attackers melee attack roll. If successful,
the initiator may make an immediate 5 ft. step to a
location that is not being threatened by his attacker
without provoking attacks of opportunity. If no such
square exists, then this counter cannot be used.",2,icons/svg/sword.svg
KNUCKLE TO THE BLADE,standard,One creature,,Instant,Melee attack,,,Broken Blade (Strike),"By striking at the weapon-wielding arm of his
opponent, the disciple of the Broken Blade can cleverly
disarm his opponent and potentially even bring his
foes weapon to bear against him. The initiator makes
an attack as normal upon his foe, if successful, the
initiator may make a free disarm attempt against the
opponent without provoking attacks of opportunity.
If he is unarmed, he may take the weapon and use it
if the disarm attempt is successful or he may drop it.",2,icons/svg/sword.svg
LEG SWEEPING HILT,standard,One creature,,Instant,Melee attack,,,Broken Blade (Strike),"With quick feint high, the disciple hooks his foot
behind the leg of his foe and stiffens it like the hilt
of a sword, drawing it back to knock his opponent
down. The initiator makes a trip attempt with a +2
competence bonus which does not provoke attacks
of opportunity. If successful, the initiator trips his
opponent and may make an immediate attack at his
full base attack bonus.",2,icons/svg/sword.svg
FLAT IRON RIPOSTE,immediate,One creature,,Instant,Melee attack,Reflex,partial,Broken Blade (Counter),"Saving Throw: Reflex partial
When an opponent swings to strike at the disciple,
his finely trained body explodes into motion in a
shower of incredible reflexes, grabbing the attackers
attacking appendage and hurling him away. TThe
initiator makes an opposed Acrobatics check against
his attackers melee roll. If successful the initiator
negates the attack and hurls the enemy 10 ft. away
to potentially land prone on a failed Reflex save (DC
13 + initiation modifier). This counter only works on
opponents who are no more than one size category
larger than the initiator.",3,icons/svg/sword.svg
IRON DUST,swift,One martial strike,,Instant,Melee attack,,,Broken Blade (Boost),"Knowing the disadvantage of fighting without
proper steel in hand, the disciple of the Broken
Blade must take advantage of his surroundings and
openings in his foes defenses as he sees them. As part
of a martial strike, he may make a free dirty trick
attempt as part of this boost with a +2 competence
bonus without provoking attacks of opportunity. The
initiator may choose when the effects of this boost
are applied (before, during, or after) when using this
in conjunction with an attack or a martial strike.",3,icons/svg/sword.svg
STEEL FLURRY STRIKE,standard,One creature,,Instant,Melee attack,,,Broken Blade (Strike),"The disciple makes a furious set of attacks upon
his foe, hammering through defenses and striking
rapidly. The initiator may make three attacks against
his foe at full base attack bonus with a -2 penalty to
hit. Successful hits inflict an additional 3d6 points of
damage per hit.",3,icons/svg/sword.svg
BROKEN BLADE RIPOSTE,immediate,One creature,,Instant,Personal,,,Broken Blade (Counter),"Sometimes to give, one has to take. This ebb and
flow that the disciple has mastered allows him to
focus his pain into a forceful counter blow to drive his
opponent back. After being struck in melee combat,
the initiator may make an immediate counter attack
at his full base attack bonus and this attack inflicts
an additional 3d6 points of damage and pushes the
target away from the initiator 5-ft.; this movement
does not provoke attacks of opportunity.
IRON-BREAKING PALM
Discipline: Broken Blade (Strike)
Level: 4
Prerequisites: One Broken Blade maneuver
Initiation Action: 1 standard action
Range: Melee attack
Target: One creature
Duration: Instant
By targeting the very iron, wood, and steel he
has eschewed for the simple use of his own limbs
as weapons, he reduces his foes effectiveness by
shattering their illusion of superiority in combat.
The initiator makes a sunder attempt against
the opponents weapon or shield and inflicts an
additional 3d6 points of damage to the targeted item.
If the initiator breaks a targets shield, the target is
considered entangled until he spends a standard
action to divest himself of the broken shield. This
sundering attempt does not provoke an attack of
opportunity.",4,icons/svg/sword.svg
IRON AXE KICK,standard,One creature,,Instant,Melee attack,Fortitude,partial,Broken Blade (Strike),"Saving Throw: Fortitude partial
The disciple leaps up into the air and raises his leg up
to hammer it down in a bone-shattering axe kick. The
initiator delivers a potent kick (as an unarmed strike)
that inflicts an additional 6d6 points of damage. The
target must make a Fortitude save (DC 14 + primary
initiation modifier) or be dazed for 1d4 rounds.",4,icons/svg/sword.svg
IRON KNUCKLE,swift,You,,One turn,Personal,,,Broken Blade (Boost),"By tapping into hidden reserves of martial power
locked within his form, the disciple of the Broken
Blade makes his attacks strike with the force of a
thousand fists. For the duration of the turn this boost
is initiated on, unarmed attacks or those made with
weapons of the Broken Blade discipline inflict an
additional 4d6 points of damage.",4,icons/svg/sword.svg
IRON MONGERS THROW,standard,One creature,,Instant,Melee attack,,,Broken Blade (Strike),"Opponents with their deadly blades and powerful
spears can harry the disciple who fights with his hands,
and the truth that is forgotten by filling ones hands
with iron and steel is that the one with open hands
may use them for whatever purpose suits them, and
in this case it is for taking a foe and viciously hurling
him away to give the disciple room to maneuver and
plan his next move. The initiator makes a CMB check
with a +4 competence bonus that does not provoke
attacks of opportunity, and if successful the initiator
rolls into a reverse somersault to hurl his foe up to
20-ft. away from him (the disciples player chooses
the flight path of the thrown foe) where they land in
heavily, taking 6d6 points of damage.",5,icons/svg/sword.svg
SHARDS OF STEEL STRIKE,standard,One creature,,Instant,Melee attack,,,Broken Blade (Strike),"By targeting vital soft tissues with a pointed, viper
head-like finger jab, the disciple punctures flesh and
releases the vital blood supply of his foe all over the
ground in a deluge. The initiator makes an attack at
a target creature, and if successful this strike inflicts
an additional 8d6 points of damage which ignores
damage reduction and the target suffers the bleeding
condition, bleeding 2d4 points of damage per round
for the initiators initiation modifier in rounds. A
successful DC 20 Heal check or the application of
any effect that cures hit point damage will stop the
bleeding.",5,icons/svg/sword.svg
THROW THE BLADE DOWN,immediate,You,,Instant,One melee attack,Reflex,partial,Broken Blade (Counter),"Saving Throw: Reflex partial
With a nimble sidestep and sweeping kick, the
disciple of the Broken Blade both avoids an attack
and uses his attacks momentum to hurl him at the
ground to land prone at his feet and at his fading
mercy. The initiator makes an opposed Acrobatics
check against the targets attack roll. If successful the
initiator makes an immediate 5-ft. step to an adjacent
square and the attacker moves 5-ft. to occupy his
former square and the attacker must make a Reflex
save (DC 15 + initiation modifier) to resist falling
prone. The initiator may not use this counter on
targets that are more than one size category larger
than he is and neither 5-ft step provokes an attack of
opportunity.",5,icons/svg/sword.svg
FINISHING KICK,swift,One creature,,Instant,One full melee attack,,,Broken Blade (Boost),"Amidst the flurry of punches, kicks, and elbows
that are the hallmarks of the Broken Blade discipline,
the disciple who has put his foe through the ropes
of learning what it is to underestimate the warrior
without weapons may deliver this powerful kick to
reduce his foe to a bleeding heap. At the end of a
full attack action, the initiator may use this boost to
deliver one final extra unarmed attack as he delivers
a powerful kick at his full base attack bonus and
inflicting an additional 6d6 points of damage.",6,icons/svg/sword.svg
SINGING STEEL STRIKE,standard,One creature,,1d4 rounds,Melee attack,Fortitude,partial,Broken Blade (Strike),"Saving Throw: Fortitude partial
With a powerful strike to the head of the target, the
disciples fist hits as hard as meteoric iron and sets
the jaw of the target loose and rings the proverbial
bell of the unfortunate who was unlucky to face him.
The initiator makes a melee attack against the target
creature, and if successful, he inflicts an additional
8d6 points of damage and this forces the target to
make a Fortitude save (DC 16 + initiation modifier) or
be deafened and silenced for 1d4 rounds. If the target
makes the save, then the target is only deafened for
one round.",6,icons/svg/sword.svg
STEEL AXE KICK,standard,One creature,,Instant,Melee attack,Fortitude,partial,Broken Blade (Strike),"Saving Throw: Fortitude partial
With a sweeping axe kick that strikes as hard as any
hammer strike could ever be hoped to, the disciple of
the Broken Blade lands a crushing blow that causes
even the strongest of opponents to pause in pain.
The initiator delivers a devastating spinning kick (as
an unarmed strike) that inflicts an additional 10d6
points of damage and potentially dazes the target
for 1d3 rounds on a failed Fortitude save (DC 16 +
initiation modifier).",6,icons/svg/sword.svg
ADAMANTINE KNUCKLE,swift,You,,One turn,Personal,,,Broken Blade (Boost),"The sheer ferocity and focus of the disciples ability
in the unarmed combat area rivals that of the greatest
ki wielders in the world. By tightening his knuckles,
long since numb with scars and digging deep within,
the disciple strikes with steel-shattering force. Once
initiated, for the rest of the initiators turn all attacks
he makes with this boost inflict an additional 6d6
points of damage and ignore the targets damage
reduction or an objects hardness.",7,icons/svg/sword.svg
SHARDS OF ADAMANTINE STRIKE,standard,One creature or object,,Instant,Melee attack,Fortitude,partial,Broken Blade (Strike),"Saving Throw: Fortitude partial
It is said that masters of the discipline are capable
of using their hand in the manner of striking serpent
to punch through solid stone as if it were straw, and
disciples with this maneuver are those who can.
Taking this training to the theater of war, a punch so
potent that it can leave the foe sickened with pain is
what this art form can deliver. The initiator makes
an attack against the target creature and if successful,
this attack inflicts an additional 12d6 points of
damage that ignores the targets damage reduction or
an objects hardness. If striking a living creature, the
target must make a Fortitude save (DC 17 + initiation
modifier) or be nauseated with the pain of the strike
for 1d4 rounds.",7,icons/svg/sword.svg
SPINNING FLURRY RUSH,standard,All adjacent enemies,,Instant,Melee attack,,,Broken Blade (Strike),"The disciple of the Broken Blade takes a deep breath
when he finds himself surrounded by opponents and
hopes that theyve made peace with the gods, for they
will be seeing them soon. The initiator makes two
attacks at full base attack bonus per opponent within
his reach, and each attack inflicts an additional 4d6
points of damage.",7,icons/svg/sword.svg
METEORIC THROW,standard,One creature to be thrown at another target,,Instant,Melee attack and 25-ft.,Reflex,(special),Broken Blade (Strike),"Saving Throw: Reflex (special)
The Broken Blade master has transcended the
simple use of his own body as a weapon, and has
deigned to use his opponents body as a weapon
against those who would stand against him. The
initiator makes a grapple attempt and if successful,
he may hurl his foe up to 25-ft. as a ranged touch
attack at either the ground or another target foe. The
thrown enemy suffers 12d6 points of damage upon
impact, and if thrown at a target creature, that target
suffers that damage as well on a failed Reflex saving
throw (DC 18 + initiation modifier for half damage).
The target of this grapple attempt must be within
one size category of the initiator. Large or larger
foes being hurled using this method may target the
ground beneath multiple targets within the area that
creature normally would occupy. (Large creatures,
for example, occupy a 10-ft. by 10-ft. space so they
would hit all targets within a 10-ft. by 10-ft. area on a
failed Reflex save).",8,icons/svg/sword.svg
SPINNING ADAMANTINE AXE,standard,All adjacent enemies,,Instant,Melee attack,,,Broken Blade (Strike),"With a powerful leap into the air, the disciple of the
Broken Blade unleashes a powerful spinning kick to
his surrounding foes that strikes with the force of a
hurricane. The initiator makes one unarmed attack
against each foe in range, each successful strike
inflicting an additional 10d6 points of damage that
ignores the targets damage reduction. Foes that are
struck are also knocked prone from the force of this
assault.",8,icons/svg/sword.svg
STORM OF IRON FISTS STRIKE,full,One creature,,Instant,Melee attack,Fortitude,partial,Broken Blade (Strike),"Saving Throw: Fortitude partial
The true master of the Broken Blade unleashes a
storm of adamantine-hard strikes that rip through
the defenses of his unfortunate target and resound as
thunder from the force of the blows. Those witnessing
this strike implemented rarely forget it, and those
that feel it rarely survive it. The initiator makes a full
attack and each strike inflicts an additional 4d6 points
of damage that ignores damage reduction. After the
attacks are made, the target must make a Fortitude
save (DC is 19 + initiation modifier). Each successful
hit increases Fortitude save by +1 per attack to resist
this strike; failure on the Fortitude save indicates that
the target is reduced to -1 hit points.",9,icons/svg/sword.svg
DEMORALIZING ROAR,swift,One creature,,One round,Any attack,Will,negates,Golden Lion (Boost),"Saving Throw: Will negates
With a shout of rage and defiance, the Golden Lion
disciple wades into battle with fearless determination,
shattering the resolve of his foes. As a swift action
the initiators attacks become filled with the dread
of defeat, causing his target opponent to be shaken
for one round (Will save DC 11 + initiation modifier
negates).",1,icons/svg/pawprint.svg
